userId,nama,deskripsi,kategori,whatsapp,instagram,website,logoInnovator,headerInnovator
EImKyw4TxLedVP9VrfoEG13TM8G3,Pemerintah Kabupaten Blora,Instansi yang fokus pada penguatan ketahanan pangan dan menjembatani kolaborasi petani lokal dengan korporasi besar.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,
YI3byO7FlFcAFPor417T45dvB1h2,PT Pupuk Indonesia (Persero),Perusahaan strategis yang membina petani melalui program Makmur untuk meningkatkan produktivitas dan kesejahteraan pertanian.,Perusahaan,00-00-0000000,,,,,,,,,,,,,
di59gtOyh3fGePnPmCMSMp6RP4v2,Ir. Ai Dudi Krisnadi,Penggerak budidaya Kelor (Moringa) di Indonesia yang berhasil membawa produk lokal menembus pasar internasional.,Agribisnis,00-00-0000000,,,,,,,,,,,,,
BWnVemFXhtfbz2TfRMKnBQhekHu2,Akmal Idrus,Sosok kreatif yang memfokuskan inovasi pada sistem distribusi hasil bumi dan efisiensi biaya operasional bagi petani kecil.,Start Up,00-00-0000000,,,,,,,,,,,,,
sv6zEfZs7LO9B2fbyJS2G3lA6iO2,Arief Bismart,Inovator teknologi yang mengembangkan sistem informasi untuk mempermudah transaksi dan pelaporan data ekonomi desa.,Start Up,00-00-0000000,,,,,,,,,,,,,
PqyssK5S9xWjeKRdZGXmcohPDXY2,Dana Rahmadiansyah,Spesialis dalam optimasi teknologi lingkungan dan manajemen sumber daya berkelanjutan untuk masyarakat daerah.,Start Up,00-00-0000000,,,,,,,,,,,,,
KnA8OB8iTEhckbxnvCy5hebh5h23,Muhammad Rifandi,Inovator yang berperan dalam implementasi smart farming dan platform pemasaran digital bagi produk unggulan lokal.,Start Up,00-00-0000000,,,,,,,,,,,,,
ElQXYH7o3BZBpZvp44w8AaxYnoo2,KWT (Kelompok Wanita Tani),Wadah pemberdayaan perempuan desa melalui optimasi lahan pekarangan dengan konsep Pekarangan Pangan Lestari (P2L).,Organisasi Pertanian,00-00-0000000,,,,,,,,,,,,,
ChyHHz9RAlOQ1ET2Gh44qAn6SuB2,Kelompok Masyarakat Maju Bersama,Kelompok akar rumput yang bergerak dalam pengolahan limbah dan koperasi simpan pinjam berbasis produktivitas kolektif.,Lembaga Swadaya Masyarakat (LSM),00-00-0000000,,,,,,,,,,,,,
PfmbIj9GJANvEHH4dcEoqFeSqZo2,Muhammad Ihsan Sulaiman,Peneliti yang mendedikasikan inovasinya pada pengembangan varietas tanaman dan sistem pengolahan pangan ramah lingkungan.,Akademisi,00-00-0000000,,,,,,,,,,,,,
s0nCXdC1yuMbWHVr1YZklVlyhra2,Octari Rahmawati,Aktivis yang fokus pada penguatan peran gender dalam pengambilan keputusan dan pemberdayaan sosial di tingkat komunitas.,Lembaga Swadaya Masyarakat (LSM),00-00-0000000,,,,,,,,,,,,,
p6hPcNSz4Ha8zuiqCPb6PMM5jhV2,Yusup Cahyadi,Spesialis pengembangan alat mekanisasi pertanian sederhana untuk efisiensi proses pasca-panen bagi petani lokal.,UMKM,00-00-0000000,,,,,,,,,,,,,
VhD3RqmY55a4HO6RwuhCqEn0wj93,Salsabilla Meidiyanti,Inovator yang berfokus pada literasi gizi masyarakat dan peningkatan kualitas hidup melalui edukasi kesehatan publik.,Akademisi,00-00-0000000,,,,,,,,,,,,,
Z415OvRNtmgZdmtTy4FCKSye0IZ2,Naena Salsabila,Penggerak branding dan komunikasi visual yang membantu UMKM desa dalam memperkuat daya saing estetika produk.,UMKM,00-00-0000000,,,,,,,,,,,,,
7tTxDtU8tIfO9o5GHGuiFXB1D3H3,M. Ramzi Yusuf Al Haidar,Seorang peneliti muda yang berfokus pada pengembangan solusi berbasis teknologi khususnya dalam kompetisi inovasi digital yang menyasar efisiensi operasional atau layanan publik.,Akademisi,00-00-0000000,,,,,,,,,,,,,
lO4k02IZ3hMpTmsoeFLIcRXmytT2,Teuku Biran Abigaia,Inovator mahasiswa yang aktif dalam pengembangan purwarupa teknologi tepat guna dan sistem informasi untuk solusi lingkungan.,Akademisi,00-00-0000000,,,,,,,,,,,,,
Pa6lIJf2cAb47s6hoQdqwn18KVu2,Derrick Cahyadita,Pengembang solusi digital yang menekankan pada aspek pengalaman pengguna (UX) dalam aplikasi berbasis web atau mobile.,Akademisi,00-00-0000000,,,,,,,,,,,,,
U5BEZTyJFZQV48fu89EFz51cQv82,Prof. Dr. C. Hanny Wijaya,Pakar Ilmu Teknologi Pangan IPB University yang dikenal atas riset pangan fungsional seperti cajuput candy.,Akademisi,00-00-0000000,,,,,,,,,,,,,
IGWgajJ8cXP5jX9NLXOzAB4BG2S2,Prof. Dr. Khaswar Syamsu,Guru Besar Teknologi Industri Pertanian IPB yang ahli dalam teknologi fermentasi dan inovasi produk halal.,Akademisi,00-00-0000000,,,,,,,,,,,,,
xqS2SnfqdGXvS9HdbEUQYLUoAXf1,Badan Riset dan Inovasi Nasional (BRIN),Lembaga pemerintah pusat yang mengintegrasikan riset nasional dan mendukung hilirisasi invensi menjadi inovasi bernilai ekonomi.,Dibawah Pemerintah,00-00-0000000,,,,,,,,,,,,,
cpzwb7ETQVXfROBkIURtDvtEW1t2,K-Link Indonesia,Perusahaan penjualan langsung yang berinovasi dalam suplemen kesehatan herbal dan platform digital pemberdayaan ekonomi.,Perusahaan,00-00-0000000,,,,,,,,,,,,,
ZVzZB9X5reTZu8hVI4Fn8qhocHW2,PT Prodia Diagnostic Line (PROLINE),Manufaktur alat kesehatan yang fokus pada inovasi reagen diagnostik in-vitro berkualitas tinggi.,Perusahaan,00-00-0000000,,,,,,,,,,,,,
4cPYPFCxBIaDaAsIJQpM4KwflMp2,PT Samudera Luas Paramacitra (SLP),Produsen karet teknik yang berinovasi dalam produk infrastruktur seperti rubber fender dan bantalan jembatan.,Perusahaan,00-00-0000000,,,,,,,,,,,,,
ICVrFW8QwvViyZmkjBjb9RiYNMG2,SMKN 2 Kaltingan Hilir,Institusi pendidikan vokasi yang aktif menciptakan alat mekanisasi pertanian dan teknologi tepat guna tingkat daerah.,Akademisi,00-00-0000000,,,,,,,,,,,,,
0A44TSJdD7NEqPx8JUvdkQ4UKrH3,Ahmad Nauval Ariq MS,Peneliti muda yang mengeksplorasi integrasi kecerdasan buatan dalam sistem otomasi untuk industri menengah.,Akademisi,00-00-0000000,,,,,,,,,,,,,
3c9xoMpzT7MsIsosmHeTDt7fA5z2,Laily Angelina,Inovator yang berfokus pada pemanfaatan material alami untuk produk kesehatan dan kosmetik melalui riset bioteknologi.,Akademisi,00-00-0000000,,,,,,,,,,,,,
wfxFogA0jTauftjSjns50IqE2303,Mutiara Cinta Ekaputri,Pelajar inovator yang mengembangkan alat bantu praktis untuk pemberdayaan masyarakat di tingkat akar rumput.,Akademisi,00-00-0000000,,,,,,,,,,,,,
bohtBS0lIbbAZAwkyfAj4snMEcS2,PT Nano Herbaltama Internasional,Industri farmasi yang menerapkan teknologi nano dalam pengolahan herbal untuk meningkatkan efektivitas produk.,Perusahaan,00-00-0000000,,,,,,,,,,,,,
alr5MoASahQLVzd7YQxGx42MGXj2,PT Marlin,Perusahaan teknologi yang mengembangkan solusi manajemen transportasi laut dan logistik digital.,Start Up,00-00-0000000,,,,,,,,,,,,,
qWvShbjEI0eyYYQanMgbEQLHzhw1,Pemerintah Kabupaten Klungkung / Dinas Lingkungan Hidup & Pertanahan Klungkung,Instansi pemerintah daerah pemrakarsa program TOSS untuk manajemen sampah menjadi energi terbarukan.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,
locv8sSArgZYdFGMImms8wJy8Qv2,Dr. Ayi Rahmat - Ketua tim peneliti dari Departemen Ilmu dan Teknologi Kelautan dari Fakultas Perikanan dan Ilmu Kelautan (FPIK) IPB University.,Ketua tim peneliti FPIK IPB University yang memimpin inovasi teknologi kelautan dan pemantauan kualitas perairan.,Akademisi,00-00-0000000,,,,,,,,,,,,,
YwR2BUgdyIXt7vooQ8Ft2cRK6EA3,Kelompok Petani dan Mitra Program Peat-IMPACTS (CIFOR-ICRAF Indonesia),Kolaborasi komunitas dan mitra internasional dalam pengelolaan lahan gambut berkelanjutan tanpa bakar.,Lembaga Swadaya Masyarakat (LSM),00-00-0000000,,,,,,,,,,,,,
MlJiW0biTcZYPWc5L9XkMsAgXBA2,Pemerintah Desa Dukunanyar & Warga setempat,Inisiatif kolaboratif tingkat desa dalam pengembangan tata kelola lingkungan dan ekonomi berbasis potensi lokal.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,
Xi1h5CoRXCg419zU5IJDrCVaAub2,PT Mitra Sejahtera Membangun Bangsa (MSMB) Indonesia,Perusahaan agritech pengembang teknologi Smart Farming 4.0 seperti sensor tanah dan cuaca.,Start Up,00-00-0000000,,,,,,,,,,,,,
lrNGmVqalachVzJFtzsz9MUj27I3,Tim Riset DiGiFARM Polinela (Politeknik Negeri Lampung),Kelompok peneliti dari Politeknik Negeri Lampung yang menciptakan platform pertanian digital real-time.,Akademisi,00-00-0000000,,,,,,,,,,,,,
WpOMuzi9T2hCUupov7KEZFWMMz53,"Tim Pengembang dari Program Studi Teknologi Informasi, Universitas Pendidikan Nasional (Undiknas)",Akademisi yang merancang sistem informasi terintegrasi untuk digitalisasi layanan dan kebutuhan UMKM.,Akademisi,00-00-0000000,,,,,,,,,,,,,
wHV9hyORLtW1Bju5cDonskDf8uG3,Posyantek Kreatif Gunung Sari Ulu,Wadah masyarakat dalam menciptakan alat teknologi tepat guna untuk efisiensi kerja di lingkungan kelurahan.,Organisasi Pertanian,00-00-0000000,,,,,,,,,,,,,
sDuvVkvv64V6OzqU9hz2BRMjhI83,PT. Tani Pintar Indonesia,Perusahaan rintisan yang mengembangkan solusi ekosistem pertanian digital untuk menghubungkan petani dengan akses modal dan pasar.,Start Up,00-00-0000000,,,,,,,,,,,,,
aA5aiUw8MYSlN6i46l6PV5ybtMN2,Dinas SDABMBK Kab. Bekasi,Instansi pemerintah daerah yang mengelola inovasi infrastruktur jalan dan sistem drainase untuk meningkatkan konektivitas wilayah.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,
mZ9Dnw0GMCTAl50bbouvEzyzqMg2,PT Jakarta Propertindo,Badan usaha daerah yang fokus pada pembangunan infrastruktur kota modern dan berkelanjutan serta manajemen aset strategis.,Perusahaan,00-00-0000000,,,,,,,,,,,,,
Ln01fInS0AXBC6Wt4Jzx9SfM1H63,Ir. Angga Tribudiatma S.T. M.T,Dosen peneliti yang mengembangkan sistem kendali otomatis dan otomasi industri untuk efisiensi produksi manufaktur lokal.,Akademisi,00-00-0000000,,,,,,,,,,,,,
B62Uon9rs4gVpKo33PpX35eghtv1,Ganda Surahman S.T. M.T,Akademisi yang berfokus pada riset teknologi energi terbarukan dan mekanisasi peralatan untuk sektor perikanan tangkap.,Akademisi,00-00-0000000,,,,,,,,,,,,,
5CJvWysdngOQy4Jz350yviiuDcf2,"Ir. Zaki Rendy Springfield, S.T., M.T",Pakar teknik mesin yang aktif dalam inovasi desain manufaktur dan pengembangan material untuk kebutuhan industri nasional.,Akademisi,00-00-0000000,,,,,,,,,,,,,
IDGd04Cr3Hg1ANNMgPFNnrCnHcd2,Pusdatin Kementerian PUPR RI,Unit kerja pemerintah pusat yang memimpin transformasi digital dan integrasi big data untuk perencanaan pembangunan infrastruktur.,Dibawah Pemerintah,00-00-0000000,,,,,,,,,,,,,
CSPTrqM2YuhddWl4Yierz3fZZX32,Tim Aplikasi Diskominfo Pekanbaru,Tim teknis yang merancang aplikasi layanan publik terpadu guna mendukung implementasi konsep Smart City di pemerintahan kota.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,
ST7MtfH4FOSfb1gLuohAI0bEGuk2,Dinas PUPRPKP Kota Malang,Instansi yang berinovasi dalam penataan ruang kota dan manajemen perumahan rakyat yang berbasis keberlanjutan lingkungan.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,
DTzfYHCxVldNSl3vb6lQ6t7ZBGA2,Bappelitbangda Kab. Bengkulu Utara,Lembaga daerah yang fokus pada inovasi perencanaan pembangunan berbasis riset data primer dan penguatan kebijakan publik lokal.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,
eijPUL1pUkhMCyvDGPwIltaPE7m2,ITDC,Badan Usaha Milik Negara yang mempelopori inovasi pengelolaan destinasi wisata terpadu kelas dunia dengan prinsip pariwisata hijau.,Perusahaan,00-00-0000000,,,,,,,,,,,,,
xFYuzymrTQZHzrLq6psyJoyoi3F2,Mahasiswa Poltek STIA LAN Bandung,Inovator muda yang mengembangkan model administrasi pembangunan berbasis digital untuk optimalisasi pelayanan birokrasi.,Akademisi,00-00-0000000,,,,,,,,,,,,,
isr73mfpwtXrMfNHxF2g9Avx9Ly1,Dr. Iyep Komala,Pakar peternakan yang melakukan riset inovatif pada optimalisasi produksi pakan dan teknologi manajemen budidaya ternak ruminansia.,Akademisi,00-00-0000000,,,,,,,,,,,,,
XoRNJECVP4MoxfNgwcSWlZwUlYY2,Dr. Mohammad Fayruz,Pengusaha dan praktisi kesehatan yang mengintegrasikan hasil riset medis ke dalam lini produk kesehatan inovatif di PT Lana Ratifa.,Start Up,00-00-0000000,,,,,,,,,,,,,
oEpQA5B1AWTPXQBz2ZsMBV0llq53,Dr. Ridwan Siskandar,Peneliti yang berfokus pada integrasi Internet of Things (IoT) dan sensor pintar untuk pemantauan lingkungan dan pertanian presisi.,Akademisi,00-00-0000000,,,,,,,,,,,,,
NG0zMaJXV8U5L9uWTbNipPdtWdv2,UMKM Berkah Borneo,Unit usaha kreatif yang melakukan inovasi pengolahan hasil alam lokal menjadi produk bernilai tambah tinggi untuk pasar regional.,UMKM,00-00-0000000,,,,,,,,,,,,,
PF65KhtJUYZDmErxFQaGAGNwdKn2,Prof. Dr. Ir. Marimin M.S.c,Guru Besar yang ahli dalam pengembangan sistem pendukung keputusan (DSS) dan aplikasi kecerdasan buatan untuk rantai pasok industri.,Akademisi,00-00-0000000,,,,,,,,,,,,,
QFeu4PzEfDdtTgfl7Gb7jV3BLf62,Dr. Idung Risdiyanto,"Peneliti yang mengembangkan inovasi di bidang keteknikan pertanian, khususnya pada model pemetaan lahan dan konservasi sumber daya air.",Akademisi,00-00-0000000,,,,,,,,,,,,,
FMPmAiqOAveWZhylz27eoyOzbhx1,Dr. Akhmad Faqi,Pakar agroklimatologi yang menciptakan model prediksi iklim untuk membantu petani dalam menentukan kalender tanam yang akurat.,Akademisi,00-00-0000000,,,,,,,,,,,,,
1jSDZgpWiwcU9Yvok3ZNgdmzFor2,Prof. Suryo Wiyono,Ilmuwan yang berinovasi dalam penemuan mikroba bermanfaat dan biopestisida untuk perlindungan tanaman secara berkelanjutan.,Akademisi,00-00-0000000,,,,,,,,,,,,,
kSKhDIYLdLfy56Ml7hVz6kNr8Qf1,Alif Rezky Maulana,Inovator muda di bidang teknik informatika yang fokus pada pengembangan algoritma untuk sistem otomasi logistik.,Akademisi,00-00-0000000,,,,,,,,,,,,,
xePzMBsS70dRno4rlKsEorB5na82,BPS Kabupaten Lombok Barat,Lembaga statistik pemerintah daerah yang berinovasi dalam pemanfaatan teknologi informasi untuk visualisasi data pembangunan daerah.,Dibawah Pemerintah,00-00-0000000,,,,,,,,,,,,,
