userId,nama,kodeProv,namaProv,kodeKota,namaKota,kodeKec,namaKec,kodeDesa,namaDesa,logoDesa,headerDesa,fotoInovasi,fotoInovasi2,deskripsi,potensi,geografis,perkembanganTeknologi,kemampuanTeknologi,sumberDaya,sosialBudaya,kondisiJalan,jaringan,listrik,whatsapp,instagram,website
jB9V83zUiThpAEZMwf1vfikYpDs2,Sidomulyo,16,SUMATERA SELATAN,1607,KABUPATEN BANYUASIN,1607061,AIR KUMBANG,1607061001,SIDOMULYO,https://drive.google.com/file/d/1H0bGjm8QUW05ncFyumigBz7KEgzbg9gS/view?usp=drive_link,,,,Sudah ada inovasi,"Pariwisata, Pertanian, Ekonomi Kreatif, Perkebunan, dan Perikanan",Dataran Rendah,Seluruhnya berkembang dengan baik,Kemampuan masyarakat cukup baik,"Pertanian (cabai, tomat, pisang, mangga), Perkebunan (sawit dan karet),  Peternakan, dan Perikanan","Menjunjung tinggi adat istiadat dan masih melestarikan keseneian daerah setempat seperti kerawitan gamelan, kuda lumping, dan reog ",Kondisi jalan baik dengan permukaan jalan beraspal atau beton ,Dilengkapi jaringan internet baik akses internet warga dan kantor desa menyentuk skor IDM 5,Akses Listrik baik dan memadai yang ditandai dengan skor IDM mencapai 5,085281141500,https://www.instagram.com/desasidomulyo.banyuasin,https://sidomulyo-airkumbang.desa.id/
ugZ40V94wSNpcqEFkYf7LsF521y1,Sengaselatan,73,SULAWESI SELATAN,7317,KABUPATEN LUWU,7317030,BELOPA,7317030003,SENGASELATAN,https://drive.google.com/file/d/1d9GDsLWUSkp703_GgChqxk0p5hjhFr73/view?usp=drive_link,,,,Sudah ada inovasi,"Pariwisata, Pertanian, Ekonomi Kreatif",Dataran Rendah,Seluruhnya berkembang dengan baik,Kemampuan masyarakat masih dibutuhkan pelatihan,Lahan produktif (Padi & Tambak) dan Lokasi strategis Jalur Trans Sulawesi,Terdiri dari 3.918 masyrakat yang mayoritas beragam Islam serta menjunjung nilai gotong royong serta nilai adat dan spiritual,Kondisi jalan baik dengan permukaan jalan beraspal atau beton tetapi masih ada di beberapa titik yang rusak,Dilengkapi jaringan internet baik akses internet warga dan kantor desa menyentuk skor IDM 5,Akses Listrik baik dan memadai ,081241111811,https://www.instagram.com/pemdessengaselatan/,https://sengaselatan.desa.id/
y3GYymdH9kdJFEcci9SbT2aoDaO2,Kawalimukti,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3207280,KAWALI,3207280004,KAWALIMUKTI,https://drive.google.com/file/d/1OBogoFUt-NLK5LqPTXXnEP-RrqWZ8cgB/view?usp=drive_link,,,,Sudah ada inovasi,"Pariwsata, Pertanian",Dataran Tinggi,Seluruhnya berkembang dengan baik,Kemampuan masyarakat cukup baik,Keberadaan Situs Astana Gede sebagai aset sejarah nasional dan lokasi strategis di pusat Kecamatan Kawali,Mayoritas beragama islam yang masih ada budaya sunda dan menjunjung tinggi aspek gotong royong,Kondisi jalan sudah beraspal,Akses jaringan sudah terpasang 4G/LTE dengan kualitas yang baik,Akses listrik PLN sudah terpasang dengan baik sekitar 1.507 pengguna,085179926640,,https://kawalimukti.desa.id/
yDMgpTCxNeSDhF37yLOLLUjmOut2,Sampeang,73,SULAWESI SELATAN,7317,KABUPATEN LUWU,7317041,BAJO BARAT,7317041003,SAMPEANG,https://drive.google.com/file/d/1JWPoEEismMjD9phr0wnrgoLt49aLfPeg/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Pariwisata, Ekonomi Kreatif",Dataran Tinggi,Transisi,Kemampuan masyarakat masih terbatas,"Tanah yang subur untuk tanaman buah (Hortikultura), Ketersediaan sumber air yang melimpah, dan SDM Petani yang inovatif,",Terdapat 1.775 jiwa penduduk yang semuanya beragam Islam yang mengutamakan  nilai kehidupan desa yang dinamis dari segi keagamaan dan budaya serta menjunjung tinggi nilai musyawarah,Kondisi jalan baik dan jalanan sudah beraspal,Akses internet dan jaringan telpon sudah baik yang ditjunjukkan skor 5 pada penilaian IDM,Akses listrik masih terbilang sedang dan belum merata dan masih dalam skor 3 pada penilaian IDM,085289666962,,https://sampeang.digitaldesa.id/
mXiNYVHrzGfF2haIl9mkxR7lnm62,Lamunre,73,SULAWESI SELATAN,7317,KABUPATEN LUWU,7317032,BELOPA UTARA,7317032003,LAMUNRE,https://drive.google.com/file/d/10dcngTXC8Nf3RZLfWEzGzdEkiozusO2K/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Pariwisata, Ekonomi Kreatif",Dataran Rendah,Seluruhnya berkembang dengan baik tetapi masih dibutuhkan pelatihan kepada masyarakat,Kemampuan masyarakat masih terbatas,Lahan pertanian yang subur dan lokasi strategis dekat dengan Wilayahibu kota (Belopa),"Terdapat 1.603 jiwa penduduk yangsemuanya beragama islam yang mengedepankan gotong royong, mufakat, dan memegang nilai religi dalam kehidupan",Kondisi jalan baik dan jalanan sudah beraspal,Akses internet dan jaringan telpon sudah baik yang ditjunjukkan skor 5 pada penilaian IDM,Akses Listrik sudah baik dan mendapat skor 5 pada penilaian IDM,082297533365,,https://lamunre.digitaldesa.id/
2cod52pVpMOdSzMmliknav7WJ5J2,Tamansari,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,3510171,LICIN,3510171008,TAMANSARI,https://drive.google.com/file/d/1UkgZtsBm9FoTSmc5tnfOlGB9gsJSfAnK/view?usp=drive_link,,,,Sudah ada inovasi,"Pariwisata (Kawah Ijen & Wisata Alam), Pertanian (Padi & Sayuran), Perkebunan (Kopi & Cengkeh), dan Sektor Jasa (Penginapan/Pemandu Wisata).",Dataran Tinggi,Seluruhnya berkembang dengan baik,Kemampuan masyarakat cukup baik,"Potensi wisata alam kelas dunia (Ijen), Komoditas Kopi unggulan, SDM sadar wisata yang terorganisir (Pokdarwis), dan dukungan infrastruktur teknologi informasi",Terdapat 6.948 jiwa penduduk yang masih kental dengan budaya-budaya lokal seperti pencak silat dan kesenian jaranan,Kondisi jalan umumnya beraspal tetapi belum merata dan masih rentan longsor,Jaringan internet seluler masih agak sulit tetapi sudah ada pemasangan wifi di balai desa,Sudah ada akses listrik tetapi belum merata karena masih ada beberapa dusun yang belum memiliki akses listrik dengan mudah,000000000000,https://www.instagram.com/tamansaritourismvillage/,https://tamansari.profil.jmdn.co.id/
wG0OxoRIdeXJOUmCbIKarTAldnb2,Suka Bangun,61,KALIMANTAN BARAT,6106,KABUPATEN KETAPANG,6106071,DELTA PAWAN,6106071007,SUKA BANGUN,https://drive.google.com/file/d/1U36aEFccgJdmft4vu1NCwaaIpCieNYcM/view?usp=drive_link,,,,Sudah ada inovasi,"Sektor Maritim (Perikanan & Kelautan), Jasa Logistik Pelabuhan, Perdagangan, dan Industri Pengolahan Hasil Laut.",Dataran Rendah,Transisi,Kemampuan masyarakat cukup baik,"Keberadaan Pelabuhan Utama Kabupaten, Potensi perikanan laut yang melimpah, Lokasi strategis sebagai gerbang logistik Ketapang, dan SDM yang produktif di bidang jasa dan niaga.","Terdapat 7.107 jiwa penduduk yang mayoritas Islam tetapi juga ada yang katolik, kristen, buddha, hindu, dan konghucu. Masyarkat setempat masih menjaga nilai budaya leluhur dan mayoritas bersuku melayu dan dayak tetapi hidup berdampingan dalam mengutamakan gotong royong dan saling menghargai",Kondisi jalan baik dengan permukaan jalan beraspal atau beton ,Akses internet dan jaringan telpon sudah baik yang ditjunjukkan skor 5 pada penilaian IDM,Akses listrik sudah baik dan memadai dengan skor IDM 5,000000000000,,https://sukabangun.digitaldesa.id/
dhI8moEHhQTQKLaOocsqZxEHH8k1,Cimenga,32,JAWA BARAT,3208,KUNINGAN,3208010,DARMA,3208010001,CIMENGA,https://drive.google.com/file/d/1DlEtQLSZJmMLsRBMRipRvmYtEiP8vkKm/view?usp=drive_link,,,,Sudah ada inovasi,"Perkebunan (Cengkeh, Kopi), Pertanian Palawija, Peternakan, dan Potensi Wisata Alam Pegunungan.",Dataran Tinggi,Transisi,Kemampuan masyarakat masih terbatas,Tanah yang subur dan Sumber Mata Air alami pegunungan,"Masyarakat Sunda yang agamis, memegang teguh adat gotong royong, serta memiliki tradisi penghormatan terhadap alam yang tercermin dalam pengelolaan sumber air.",Kondisi jalan baik dan sudah beraspal,Akses jaringan internet  dan telepon seluler sudah baik,Akses listrik sudah baik,083139451005,https://www.instagram.com/cimengamaju,https://desa-cimenga.kuningankab.go.id/
usfDuQ1PU8fcElLxhvXyLUEaE7s2,Aengtabar,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,3526160,TANJUNGBUMI,3526160014,AENGTABAR,,,,,Sudah ada inovasi,"Pertanian Pangan, Perikanan Budidaya,Industri Kreatif, Ekonomi Strategis",Dataran Rendah,Sudah Siap,Masyarakat di sana memiliki kombinasi kemampuan tradisional yang bernilai tinggi dan adaptasi digital yang sedang tumbuh.,"Pertanian palawija (jagung dan kacang-kacangan), perikanan tangkap, serta industri kreatif batik.","Mayoritas penduduk adalah Suku Madura. Mata Pencaharian Mayoritas: Pengrajin Batik, Nelayan, Petani.",Belum sepenuhnya beraspal,Cukup Baik,Tersedia (PLN),000000000000,,
9ZCVCwkllkNSHU6vJypt36nvZQ93,Alang Alang,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,3526090,TRAGAH,3526090001,ALANG ALANG,,,,,Sudah ada inovasi,"Pertanian Pangan (Padi & Jagung), Peternakan (Sapi & Kambing), Industri Rumahan (Makanan Ringan)",Dataran Rendah,Sudah Siap,Masyarakat di sana memiliki kemampuan pertanian yang kuat dan sedang beradaptasi dengan sistem administrasi digital.,Pertanian pangan (padi dan jagung) serta peternakan rakyat.,"Mayoritas penduduk adalah Suku Madura. Mata Pencaharian Mayoritas: Petani, Peternak, Pedagang.",Belum sepenuhnya beraspal (terutama jalan penghubung antar dusun).,Cukup Baik,Tersedia (PLN),000000000000,https://www.instagram.com/pemdesalangalang/?hl=enn,
MFlSmywPd0dcAjoPmEImBbDxWD42,Alas Kembang,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,3526120,BURNEH,3526120005,ALAS KEMBANG,,,,,Sudah ada inovasi.,"Pertanian Pangan (Padi dan Palawija), Perdagangan dan Jasa, Peternakan Rakyat",Dataran Rendah,Sudah Siap,Masyarakat memiliki kemampuan di bidang pertanian dan perdagangan yang baik serta mulai aktif dalam digitalisasi layanan desa.,Pertanian pangan (padi dan jagung) serta peternakan sapi.,"Mayoritas penduduk adalah Suku Madura. Mata Pencaharian Mayoritas: Petani, Pedagang, dan Buruh Tani.",Belum sepenuhnya beraspal (Beberapa akses jalan lingkungan masih berupa paving atau pengerasan).,Sangat Baik,Sudah tersedia di seluruh tempat (PLN).,000000000000,,
tKR93xKsLnOxZzgYdM3kZ4ZNYHD3,Alaskokon,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,3526040,MODUNG,3526040017,ALASKOKON,https://drive.google.com/file/d/1a_NxJs9xurnLoBqNFsAtohHWe5gtd920/view?usp=sharing,,,,Sudah ada inovasi.,"Pertanian Pangan (Padi dan Jagung), Peternakan (Sapi dan Kambing), Industri Rumah Tangga",Dataran Rendah,Sudah Siap,"Masyarakat memiliki kemampuan di bidang pertanian dan kerajinan, serta mulai beradaptasi dengan sistem pelayanan desa digital.",Pertanian pangan (padi dan palawija) serta peternakan rakyat.,"Mayoritas penduduk adalah Suku Madura. Mata Pencaharian Mayoritas: Petani, Peternak, dan Buruh Tani.",Belum sepenuhnya beraspal.,Kurang Stabil,Tersedia (PLN).,000000000000,,
g7yY9U0BNGdPvhFKj2XUJoXprCq1,Alasrajah,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,3526050,BLEGA,3526050018,ALASRAJAH,https://drive.google.com/file/d/1ubDdHa80OhpMzYTRV8C3R2kEJOzS7ryy/view?usp=drive_link,,,,Sudah ada inovasi.,"Pertanian Pangan (Padi dan Jagung), Perkebunan (Kelapa dan Bambu), Peternakan (Sapi Madura)",Dataran Rendah,Sudah Siap,Masyarakat memiliki kemampuan kuat di sektor agraris dan mulai mengadopsi sistem informasi desa untuk keperluan administrasi.,Pertanian pangan (padi dan palawija) serta peternakan rakyat.,"Mayoritas penduduk adalah Suku Madura. Mata Pencaharian Mayoritas: Petani, Peternak, dan Pedagang.",Belum sepenuhnya beraspal.,Kurang Stabil,Tersedia (PLN).,000000000000,https://www.instagram.com/desaalasrajeh/?hl=en,
7qQtPDJDxPSs0sObKJnYRclO1n42,Alasbulu,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,3510210,WONGSOREJO,3510210003,ALASBULU,https://drive.google.com/file/d/17I52S3UJCBKfBrkguRgZ7UEgDa69e4ou/view?usp=drive_link,,,,Sudah ada inovasi.,"Pertanian Hortikultura (Cabai dan Semangka), Perikanan Tangkap, Sektor Perdagangan (Lintas Provinsi)",Dataran Rendah,Sudah Siap,"Masyarakat memiliki kemampuan di bidang pertanian lahan kering dan perikanan, serta adaptif terhadap program digitalisasi ""Smart Kampung"".",Pertanian lahan kering (cabai dan jagung) serta perikanan tangkap,"Masyarakat multikultural (dominan Suku Madura dan Osing). Mata Pencaharian Mayoritas: Petani, Nelayan, dan Pedagang.","Belum sepenuhnya beraspal (Jalan utama mulus, namun beberapa akses dusun masih dalam tahap perkerasan).",Sangat Baik (Tercover sinyal 4G yang kuat sepanjang jalur Banyuwangi-Situbondo).,Tersedia (PLN).,000000000000,https://www.instagram.com/desa.alasbuluh/,http://alasbuluh.desa.id
ByHHNNE6ZtSyGx4Qmmd9NyUGYug1,Alas Malang,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,3510140,SINGOJURUH,3510140003,ALAS MALANG,https://drive.google.com/file/d/1AAmFaIL3A6YNVtHed66IedMu4YVKg-qX/view?usp=drive_link,,,,Sudah ada inovasi.,"Pariwisata Budaya (Tradisi Kebo-Keboan), Pertanian Pangan, Wisata Kuliner",Dataran Rendah,Sudah Siap,"Masyarakat memiliki kemampuan tinggi dalam pelestarian budaya, pengelolaan wisata bahari/agraris, serta sangat adaptif terhadap teknologi digital.",Pertanian pangan (padi) serta pariwisata berbasis kebudayaan lokal,"Masyarakat didominasi Suku Osing yang sangat menjaga tradisi. Mata Pencaharian Mayoritas: Petani, Pelaku Wisata, dan Pedagang.",Sudah Beraspal (Akses utama wisata sangat baik).,Sangat Baik.,Tersedia (PLN).,000000000000,https://www.instagram.com/desaalasmalang_singojuruh/?hl=en,http://alasmalang.desa.id
NkTYdYV30yPzi273XfjJn0mQlwp2,Alasrejo,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,3510210,WONGSOREJO,3510210005,ALASREJO,https://drive.google.com/file/d/1q0GOIQckIh_Zy5OtQDwltfIar1cxYN6I/view?usp=drive_link,,,,Sudah ada inovasi.,"Pertanian Hortikultura (Cabai dan Bawang Merah), Perikanan Tangkap, Usaha Mikro Kecil dan Menengah (UMKM)",Dataran Rendah,Sudah Siap,"Masyarakat memiliki kemampuan di bidang pertanian hortikultura dan perikanan, serta sudah terbiasa dengan layanan surat-menyurat digital.",Pertanian lahan kering (cabai) serta perikanan tangkap,"Masyarakat didominasi Suku Madura. Mata Pencaharian Mayoritas: Petani, Nelayan, dan Buruh Tani.",Sudah Beraspal,sangat baik,Tersedia (PLN).,000000000000,https://www.instagram.com/desaalasrejo/,http://alasrejo.desa.id
ygtkZx47XwXqWvNL8OCfPRv1Uki1,Aliyan,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,3510120,ROGOJAMPI,3510120001,ALIYAN,https://drive.google.com/file/d/1fIyfjW6oIxFW-mEhjkC9M_jZmVPDae9K/view?usp=drive_link,,,,Sudah ada inovasi.,"Pertanian Pangan (Lahan sangat subur), Pariwisata Budaya (Keboan Aliyan), Industri Kreatif Makanan Lokal",Dataran Rendah,Sudah Siap,Masyarakat memiliki kemampuan unggul dalam pelestarian adat Osing dan sangat aktif dalam memanfaatkan layanan digital desa.,Pertanian pangan (padi) serta pelestarian warisan budaya lokal,Suku Osing yang sangat kental dengan adat istiadat. Mata Pencaharian Mayoritas: Petani dan Pelaku Usaha Mikro.,sudah beraspal,sangat baik,Tersedia (PLN).,000000000000,https://www.instagram.com/pemdes_aliyan/,http://aliyan.desa.id
oAacOQp8BNOS8ZamY9UqlmsCsg53,Badean,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,3510121,BLIMBINGSARI,3510121009,BADEAN,,,,,Sudah ada inovasi.,"Sektor Jasa & Pariwisata (Bandara), Wisata Kuliner (Sentra Ikan Bakar Pantai Blimbingsari), Perikanan Tangkap",Dataran Rendah,Sudah Siap,"Masyarakat memiliki kemampuan di bidang jasa pariwisata, perikanan, dan sangat mahir dalam pemanfaatan teknologi layanan publik.",Perikanan tangkap serta sektor jasa pariwisata dan transportasi,"Masyarakat multikultural (Osing, Madura, Jawa). Mata Pencaharian Mayoritas: Nelayan, Pelaku Usaha Jasa, dan Karyawan.",Sudah Beraspal,sangat baik,Tersedia (PLN).,000000000000,,http://badean.desa.id
OJid1UR8GnadslJl2tb5easiApy1,Alasgung,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,3522070,SUGIHWARAS,3522070003,ALASGUNG,,,,,Sudah ada inovasi.,"Pertanian Pangan (Padi dan Jagung), Peternakan Sapi Potong, Industri Rumah Tangga (Anyaman/Makanan ringan)",Dataran Rendah,Sudah Siap,"Masyarakat memiliki keahlian utama di bidang pertanian padi dan jagung, serta mulai aktif dalam pelaporan data desa berbasis digital.",Pertanian pangan (padi dan palawija) serta peternakan sapi rakyat,"Masyarakat didominasi Suku Jawa. Mata Pencaharian Mayoritas: Petani, Buruh Tani, dan Peternak.",Belum sepenuhnya beraspal.,Baik,Tersedia (PLN).,000000000000,https://www.instagram.com/kec.sugihwaras_bojonegoro/,
MneXr2fpAGY85JkMsbVIVZEKRJy1,Babad,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,3522080,KEDUNGADEM,3522080001,BABAD,,,,,Sudah ada inovasi.,"Pertanian Hortikultura (Bawang Merah dan Tembakau), Pertanian Pangan (Padi), Peternakan Sapi dan Kambing",Dataran Rendah,Sudah Siap,Masyarakat memiliki keahlian utama di bidang pertanian hortikultura (terkenal dengan produksi bawang merah/tembakau di musim tertentu) serta adaptasi administrasi digital.,Pertanian hortikultura (bawang merah) serta pertanian pangan (padi,Mayoritas Suku Jawa dengan kearifan lokal yang kental. Mata Pencaharian Mayoritas: Petani dan Peternak.,Belum sepenuhnya beraspal.,Baik,tersedia (PLN).,000000000000,,
